DateTime,Wind Direction,YawPosition,ActivePower (W),WindSpeed (m/s),Hub Height (m),Rotor Diameter (m),Turbines (Clipper),AirDensity (kg/m^3),month,scaled_yaw,2hr_active_power_rolling_avg,Wind Power (W),Turbine Power (W)
1/1/22 6:20,194.3327332,365,645.8068309,6.932723279,80,96,FO635,1.197000027,1,5,,120132.4596,
1/1/22 6:20,194.3327332,361,684.3117476,7.394424775,80,96,FO636,1.197000027,1,1,,128132.9716,
1/1/22 6:20,194.3327332,375,523.9101605,6.413714804,80,96,FO637,1.197000027,1,15,,111138.9137,
1/1/22 6:20,194.3327332,355,442.5535751,6.240772502,80,96,FO638,1.197000027,1,355,,108142.1139,
1/1/22 6:20,194.3327332,350,727.0947534,7.422612887,80,96,FO639,1.197000027,1,350,,128621.4243,
1/1/22 6:20,194.3327332,377,602.4889555,6.950666518,80,96,FO640,1.197000027,1,17,,120443.3858,
1/1/22 6:20,194.3327332,352,622.4629329,6.902324278,80,96,FO641,1.197000027,1,352,,119605.6959,
1/1/22 6:20,194.3327332,358,621.8037443,7.048811823,80,96,FO642,1.197000027,1,358,,122144.0792,
1/1/22 6:20,194.3327332,347,499.7850552,6.496554264,80,96,FO643,1.197000027,1,347,,112574.3825,
1/1/22 6:30,227.8395844,713,1278.023478,8.476412665,80,96,FO601,1.197000027,1,353,,146882.0059,
1/1/22 6:30,227.8395844,852,1391.999367,9.264683711,80,96,FO602,1.197000027,1,132,,160541.4202,
1/1/22 6:30,227.8395844,538,1186.909425,8.695393021,80,96,FO603,1.197000027,1,178,,150676.568,
1/1/22 6:30,227.8395844,720,1025.222932,7.444465657,80,96,FO604,1.197000027,1,0,,129000.0961,
1/1/22 6:30,227.8395844,803,1214.972824,8.632544761,80,96,FO605,1.197000027,1,83,,149587.5131,
1/1/22 6:30,227.8395844,351,709.948005,7.019133214,80,96,FO607,1.197000027,1,351,,121629.7987,
1/1/22 6:30,227.8395844,791,1188.377071,8.628102647,80,96,FO608,1.197000027,1,71,,149510.5387,
1/1/22 6:30,227.8395844,201,1176.338504,8.556985076,80,96,FO609,1.197000027,1,201,,148278.1906,
1/1/22 6:30,227.8395844,731,1256.073411,8.725718123,80,96,FO610,1.197000027,1,11,,151202.0511,
1/1/22 6:30,227.8395844,199,933.7497453,7.908317972,80,96,FO611,1.197000027,1,199,,137037.8783,
1/1/22 6:30,227.8395844,718,1078.472707,8.36108113,80,96,FO612,1.197000027,1,358,,144883.504,
1/1/22 6:30,227.8395844,195,914.0832597,7.625472539,80,96,FO613,1.197000027,1,195,,132136.6416,
1/1/22 6:30,227.8395844,348,1056.917756,7.857765345,80,96,FO614,1.197000027,1,348,,136161.8861,
1/1/22 6:30,227.8395844,710,927.0787895,8.0551079,80,96,FO615,1.197000027,1,350,579.2574121,139581.5014,
1/1/22 6:30,227.8395844,256,0.25297939,8.243030495,80,96,FO616,1.197000027,1,256,574.3389988,142837.8846,
1/1/22 6:30,227.8395844,371,808.2353957,7.50277007,80,96,FO619,1.197000027,1,11,576.6425026,130010.4138,
1/1/22 6:30,227.8395844,349,940.9422598,8.10186844,80,96,FO621,1.197000027,1,349,579.6498114,140391.7831,
1/1/22 6:30,227.8395844,298,1164.756394,8.053800413,80,96,FO622,1.197000027,1,298,584.4296504,139558.8448,
1/1/22 6:30,227.8395844,366,988.7430483,8.232416073,80,96,FO623,1.197000027,1,6,588.4923789,142653.9545,
1/1/22 6:30,227.8395844,362,907.4007916,7.677852694,80,96,FO624,1.197000027,1,2,591.1332127,133044.3018,
1/1/22 6:30,227.8395844,177,630.7129392,6.917583113,80,96,FO626,1.197000027,1,177,593.1182201,119870.1059,
1/1/22 6:30,227.8395844,317,790.4343037,7.345258367,80,96,FO627,1.197000027,1,317,594.9960739,127281.0003,
1/1/22 6:30,227.8395844,354,765.9569147,7.599559885,80,96,FO628,1.197000027,1,354,594.9181118,131687.6188,
1/1/22 6:30,227.8395844,357,845.568692,7.700364818,80,96,FO630,1.197000027,1,357,598.2370021,133434.3991,
1/1/22 6:30,227.8395844,340,739.5023172,7.489623748,80,96,FO631,1.197000027,1,340,598.8416034,129782.6101,
1/1/22 6:30,227.8395844,358,618.7246647,6.677381611,80,96,FO632,1.197000027,1,358,598.6200774,115707.817,
1/1/22 6:30,227.8395844,354,908.3739882,7.844936974,80,96,FO634,1.197000027,1,354,600.9821819,135939.592,
1/1/22 6:30,227.8395844,357,892.6047267,7.771996834,80,96,FO635,1.197000027,1,357,601.9694626,134675.6618,
1/1/22 6:30,227.8395844,361,631.6744985,6.908641214,80,96,FO636,1.197000027,1,1,603.4983353,119715.1578,
1/1/22 6:30,227.8395844,373,508.9420138,6.239834562,80,96,FO637,1.197000027,1,13,603.6270751,108125.8609,
1/1/22 6:30,227.8395844,355,490.0754769,6.131928666,80,96,FO638,1.197000027,1,355,603.109776,106256.0328,
1/1/22 6:30,227.8395844,350,691.4297071,7.18800099,80,96,FO639,1.197000027,1,350,605.3180217,124555.9939,
1/1/22 6:30,227.8395844,372,790.6612543,7.582669945,80,96,FO640,1.197000027,1,12,607.1532098,131394.9445,
1/1/22 6:30,227.8395844,352,577.1316052,6.610259645,80,96,FO641,1.197000027,1,352,607.7160773,114544.706,
1/1/22 6:30,227.8395844,354,656.5764189,7.013603036,80,96,FO642,1.197000027,1,354,609.0373905,121533.97,
1/1/22 6:30,227.8395844,349,744.8377094,7.391053006,80,96,FO643,1.197000027,1,349,610.5964619,128074.5445,
1/1/22 6:40,227.1167297,717,1334.871984,8.666981418,80,96,FO601,1.197212515,1,357,618.3099842,150210.9029,
1/1/22 6:40,227.1167297,855,1147.650522,8.276310985,80,96,FO602,1.197212515,1,135,623.3646482,143440.0382,
1/1/22 6:40,227.1167297,536,1091.38984,8.296773166,80,96,FO603,1.197212515,1,176,628.01855,143794.6764,
1/1/22 6:40,227.1167297,722,1274.454648,8.492486563,80,96,FO604,1.197212515,1,2,635.2156731,147186.6631,
1/1/22 6:40,227.1167297,803,1310.314362,8.92750272,80,96,FO605,1.197212515,1,83,642.9618077,154726.1012,
1/1/22 6:40,227.1167297,351,1053.770235,8.140239667,80,96,FO607,1.197212515,1,351,648.8257171,141081.732,
1/1/22 6:40,227.1167297,789,757.6104192,7.479446284,80,96,FO608,1.197212515,1,69,653.2032493,129629.259,
1/1/22 6:40,227.1167297,191,760.920691,7.339645343,80,96,FO609,1.197212515,1,191,658.0771725,127206.3133,
1/1/22 6:40,227.1167297,730,1182.554778,8.849766106,80,96,FO610,1.197212515,1,10,665.6262988,153378.817,
1/1/22 6:40,227.1167297,195,1005.843261,8.114632175,80,96,FO611,1.197212515,1,195,671.5848463,140637.9184,
1/1/22 6:40,227.1167297,718,769.7991715,7.804875754,80,96,FO612,1.197212515,1,358,675.3618726,135269.4066,
1/1/22 6:40,227.1167297,195,985.3660352,7.660048297,80,96,FO613,1.197212515,1,195,681.4457644,132759.3444,
1/1/22 6:40,227.1167297,348,1296.700916,8.562479968,80,96,FO614,1.197212515,1,348,690.5571677,148399.7466,
1/1/22 6:40,227.1167297,712,938.5933328,8.070356949,80,96,FO615,1.197212515,1,352,694.3222191,139870.5668,
1/1/22 6:40,227.1167297,259,0.069752606,6.962018071,80,96,FO616,1.197212515,1,259,690.7006293,120661.5048,
1/1/22 6:40,227.1167297,371,450.3099491,5.944155113,80,96,FO619,1.197212515,1,11,690.628801,103020.517,
1/1/22 6:40,227.1167297,351,772.0761679,7.482042856,80,96,FO621,1.197212515,1,351,693.0678208,129674.2612,
1/1/22 6:40,227.1167297,298,771.744087,7.132788178,80,96,FO622,1.197212515,1,298,694.7935423,123621.1895,
1/1/22 6:40,227.1167297,366,895.081269,7.700212436,80,96,FO623,1.197212515,1,6,698.893394,133455.445,
1/1/22 6:40,227.1167297,362,552.4187017,6.492757598,80,96,FO624,1.197212515,1,2,699.9937868,112528.5649,
1/1/22 6:40,227.1167297,180,705.0777434,7.509654499,80,96,FO626,1.197212515,1,180,700.4204903,130152.8096,
1/1/22 6:40,227.1167297,316,686.7103608,6.974348638,80,96,FO627,1.197212515,1,316,700.6942994,120875.2108,
1/1/22 6:40,227.1167297,361,828.1922959,7.733850519,80,96,FO628,1.197212515,1,1,703.9174628,134038.44,
1/1/22 6:40,227.1167297,362,736.4024063,7.344896628,80,96,FO630,1.197212515,1,2,705.6202628,127297.3254,
1/1/22 6:40,227.1167297,345,857.4544965,7.924063599,80,96,FO631,1.197212515,1,345,707.6252889,137335.0986,
1/1/22 6:40,227.1167297,358,421.1260689,5.939317218,80,96,FO632,1.197212515,1,358,706.4936717,102936.6695,
1/1/22 6:40,227.1167297,360,638.9274375,7.080250649,80,96,FO634,1.197212515,1,0,706.9890416,122710.6407,
1/1/22 6:40,227.1167297,357,611.7195951,7.067341317,80,96,FO635,1.197212515,1,357,709.2863188,122486.9039,
1/1/22 6:40,227.1167297,363,574.4647773,6.58538321,80,96,FO636,1.197212515,1,3,711.5473929,114133.8962,
1/1/22 6:40,227.1167297,381,480.9551265,6.298064915,80,96,FO637,1.197212515,1,21,710.4561995,109154.2685,
1/1/22 6:40,227.1167297,364,721.9246254,7.341818514,80,96,FO638,1.197212515,1,4,712.5153495,127243.9774,
